Date;Open;High;Low;Close*;Adj Close**;Volume
07/09/2021;69.11;69.48;67.64;68.35;68.35;481,704
03/09/2021;69.76;70.53;69.05;69.29;69.29;313,086
02/09/2021;68.29;70.61;67.84;69.99;69.99;403,314
01/09/2021;68.55;69.24;67.12;68.59;68.59;399,497
31/08/2021;69.18;69.34;68.16;68.50;68.50;325,853
30/08/2021;69.30;69.64;67.67;69.21;69.21;360,797
27/08/2021;67.75;69.05;67.52;68.74;68.74;326,056
26/08/2021;68.00;68.31;67.02;67.42;67.42;344,286
25/08/2021;67.63;68.54;66.92;68.36;68.36;353,742
24/08/2021;65.54;67.80;65.41;67.54;67.54;335,888
23/08/2021;61.96;66.00;61.74;65.64;65.64;397,290
20/08/2021;64.05;64.10;62.11;62.32;62.32;365,009
19/08/2021;64.58;64.76;62.63;63.69;63.69;88,237
18/08/2021;66.58;67.48;64.34;65.46;65.46;121,197
17/08/2021;67.43;67.72;66.33;66.59;66.59;235,303
16/08/2021;68.13;68.14;65.73;67.29;67.29;334,844
13/08/2021;68.91;69.22;67.77;68.44;68.44;272,033
12/08/2021;69.36;69.62;68.46;69.09;69.09;352,465
11/08/2021;68.51;69.45;66.67;69.25;69.25;513,292
10/08/2021;66.85;68.90;66.56;68.29;68.29;452,126
09/08/2021;67.88;67.90;65.15;66.48;66.48;598,381
06/08/2021;69.14;70.18;67.80;68.28;68.28;537,136
05/08/2021;68.06;69.35;67.61;69.09;69.09;416,331
04/08/2021;70.32;70.81;67.85;68.15;68.15;582,924
03/08/2021;71.52;71.96;69.19;70.56;70.56;509,938
02/08/2021;73.91;73.95;70.55;71.26;71.26;448,200
30/07/2021;73.41;74.23;72.93;73.95;73.95;303,700
29/07/2021;72.40;73.68;72.26;73.62;73.62;294,462
28/07/2021;71.90;72.60;71.70;72.39;72.39;318,911
27/07/2021;72.22;72.33;71.08;71.65;71.65;333,123
26/07/2021;72.18;72.43;70.56;71.91;71.91;395,743
23/07/2021;71.71;72.21;71.39;72.07;72.07;274,778
22/07/2021;70.22;72.03;69.86;71.91;71.91;435,181
